상가업소번호,상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시군구명,행정동코드,행정동명,법정동명,도로명주소,경도,위도
MA0106202201A1110786,정진코퍼레이션,,소매,오락용품 소매,서점,서적; 신문 및 잡지류 소매업,경주시,47130550,성건동,석장동,경상북도 경주시 동대로 123,129.1910382,35.86479326
MA0106202201A1279823,농업법인단석가1,본점,소매,기타 상품 소매,그 외 기타 상품 전문 소매업,그 외 기타 분류 안된 상품 전문 소매업,경주시,47130570,황남동,사정동,경상북도 경주시 금성로 237,129.2068874,35.8387602
MA0106202201A1469259,롯데시네마경주황성_티켓외,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130621,황성동,황성동,경상북도 경주시 유림로5번길 85-46,129.2181173,35.88078515
MA0106202201A0604840,LF경주헤지스종합,,소매,오락용품 소매,운동용품 소매업,운동 및 경기용품 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 중앙로 40-1,129.2118319,35.84347182
MA0106202201A2100980,퍼스트키퍼스푸르뫼,,예술·스포츠,스포츠 서비스,수영장,수영장 운영업,경주시,47130630,동천동,동천동,경상북도 경주시 양정로 278,129.2243862,35.85751247
MA0106202201A0152380,링코제일경주한,수원점,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,경주시,47130315,문무대왕면,문무대왕면,경상북도 경주시 문무대왕면 장항재동길 48,129.3877472,35.79492672
MA0106202201A1551313,경주에스디피,,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,경주시,47130530,황오동,성동동,경상북도 경주시 원화로 310-1,129.2175545,35.848286
MA0106202201A0010841,씨엔엘에프앤씨,,소매,기타 상품 소매,그 외 기타 상품 전문 소매업,그 외 기타 분류 안된 상품 전문 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 동성로111번길 9,129.2125457,35.84407138
MA0106202201A0522234,원더플레이스경주점,,소매,섬유·의복·신발 소매,기타 의류 소매업,기타 의복 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 원효로 110,129.2128776,35.8416775
MA0106202201A2301794,시골여행감포점,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 동해안로 1952,129.4907698,35.78167217
MA0106202201A1573196,카가와식당경주점,,음식,일식,일식 회/초밥,일식 음식점업,경주시,47130570,황남동,사정동,경상북도 경주시 포석로 1045,129.2093191,35.83427334
MA0106202201A1825041,이상복경주빵본사판매점,,음식,기타 간이,빵/도넛,제과점업,경주시,47130570,황남동,사정동,경상북도 경주시 첨성로 61,129.2087905,35.83316576
MA0106202201A0664842,홈플러스경주점,,소매,종합 소매,슈퍼마켓,슈퍼마켓,경주시,47130615,용강동,용강동,경상북도 경주시 산업로 4419,129.225047,35.87441274
MA0106202201A0625965,롯데렌탈,,시설관리·임대,운송장비 대여,자동차 대여업,자동차 임대업,경주시,47130530,황오동,황오동,경상북도 경주시 원화로 253,129.2170837,35.84330291
MA0106202201A0625358,풀무원푸드앤컬처원전인력양성원,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 동해안로 1819-24,129.4928268,35.77212402
MA0106202201A1825045,이상복경주빵경주IC점,,음식,기타 간이,빵/도넛,제과점업,경주시,47130570,황남동,탑동,경상북도 경주시 서라벌대로 322-10,129.2036305,35.81703264
MA0106202201A0604341,㈜이스턴웰스다스매점,본점,소매,기타 상품 소매,그 외 기타 상품 전문 소매업,그 외 기타 분류 안된 상품 전문 소매업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 외동농공단지길 14,129.3321534,35.69576055
MA0106202201A1825047,이상복경주빵보문본가,,음식,기타 간이,빵/도넛,제과점업,경주시,47130660,보덕동,북군동,경상북도 경주시 북군3길 7,129.2641162,35.85265229
MA0106202201A0010423,버거킹경주용강DT점,,음식,기타 간이,버거,피자; 햄버거; 샌드위치 및 유사 음식점업,경주시,47130615,용강동,용강동,경상북도 경주시 산업로 4494,129.2298856,35.88075637
MA0106202201A1825043,이상복경주빵본가,,음식,기타 간이,빵/도넛,제과점업,경주시,47130605,월성동,인왕동,경상북도 경주시 첨성로 169,129.2193777,35.83587199
MA0106202201A1202015,굿럭스토어,,소매,기타 상품 소매,그 외 기타 상품 전문 소매업,그 외 기타 분류 안된 상품 전문 소매업,경주시,47130615,용강동,용강동,경상북도 경주시 양정로328번길 18,129.2254993,35.86248361
MA0106202201A1795485,정우에너지동방충전소,,소매,연료 소매,가정용 연료 소매업,가정용 액체 연료 소매업,경주시,47130605,월성동,동방동,경상북도 경주시 산업로 3593,129.2558942,35.81089074
MA0106202201A0153362,커피빈경주미탐시티,코리아,음식,비알코올 ,카페,커피 전문점,경주시,47130660,보덕동,천군동,경상북도 경주시 엑스포로 80,129.2898593,35.83455809
MA0106202201A2109132,씨유월성원자력본부점,,소매,종합 소매,편의점,슈퍼마켓,경주시,47130320,양남면,양남면,경상북도 경주시 양남면 동해안로 696-13,129.4727012,35.71092008
MA0106202201A1551314,경주에스디피,,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,경주시,47130315,문무대왕면,문무대왕면,경상북도 경주시 문무대왕면 불국로 1655,129.3891789,35.79509649
MA0106202201A0010545,비케이알경주터미널FS점,,음식,기타 간이,피자,피자; 햄버거; 샌드위치 및 유사 음식점업,경주시,47130570,황남동,사정동,경상북도 경주시 강변로 158-3,129.2030803,35.83794705
MA0106202201A1469693,케이케이보문주유소,,소매,연료 소매,주유소,운송장비용 주유소 운영업,경주시,47130660,보덕동,천군동,경상북도 경주시 보문로 545-18,129.2862097,35.83578093
MA0106202201A0008850,한화호텔앤드리조트,경주지점,숙박,일반 숙박,펜션,휴양 콘도 운영업,경주시,47130660,보덕동,북군동,경상북도 경주시 보문로 182-27,129.270249,35.85968169
MA0106202201A1461256,수연당,,음식,기타 간이,빵/도넛,제과점업,경주시,47130530,황오동,황오동,경상북도 경주시 원화로 240-2,129.2176351,35.84204028
MA0106202201A1825044,이상복경주빵터미널지점,,음식,기타 간이,빵/도넛,제과점업,경주시,47130530,황오동,노서동,경상북도 경주시 태종로685번길 6,129.203016,35.83882225
MA0106202201A0624552,아트박스경주점,,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 계림로 89,129.2134594,35.84230652
MA0106202201A1551316,경주에스디피,,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 입실로 10-5,129.3258973,35.7089197
MA0106202201A1258148,도검오마카세,,음식,서양식,경양식,서양식 음식점업,경주시,47130615,용강동,용강동,경상북도 경주시 용황로10길 16-14,129.229135,35.88399602
MA0106202201A0361709,리바트모아점,,소매,가구 소매,가구 소매업,가구 소매업,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 산업로 4850,129.2410673,35.90939923
MA0106202201A0878939,외동휴게소울산,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 상석길 58-74,129.2854987,35.67147152
MA0106202201A0625205,풀무원푸드앤컬처주택금융공사미래인재원,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 동해안로 1819-46,129.491369,35.77182088
MA0106202201A0422216,달콤커피경주,터미널점,음식,비알코올 ,카페,커피 전문점,경주시,47130530,황오동,노서동,경상북도 경주시 태종로699번길 3,129.2043812,35.8389684
MA0106202201A0584416,케이컴퍼니경주점,,소매,섬유·의복·신발 소매,기타 의류 소매업,기타 의복 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 계림로 93-2,129.2134071,35.84281207
MA0106202201A0154023,파파게노경주노동점,,소매,섬유·의복·신발 소매,가방 소매업,가방 및 기타 가죽제품 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 계림로 97-1,129.2134367,35.84308184
MA0106202201A1755654,세동유통경북지점,,소매,오락용품 소매,운동용품 소매업,운동 및 경기용품 소매업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 산업로 1846,129.3336839,35.67891746
MA0106202201A0047133,이니스프리경주,황성점,소매,의약·화장품 소매,화장품 소매업,화장품; 비누 및 방향제 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성로 20,129.2140889,35.86493813
MA0106202201A0010854,씨엔엘에프앤씨,,소매,섬유·의복·신발 소매,기타 의류 소매업,기타 의복 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 중앙로48번길 12,129.2128969,35.8439658
MA0106202201A0347567,모다이노칩경주점,,소매,오락용품 소매,운동용품 소매업,운동 및 경기용품 소매업,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 산업로 4930,129.2443558,35.91641987
MA0106202201A0108827,에스케이렌터카㈜,,시설관리·임대,운송장비 대여,자동차 대여업,자동차 임대업,경주시,47130590,선도동,효현동,경상북도 경주시 태종로 207-5,129.160387,35.8325863
MA0106202201A1878440,장보는고양이경주점,강아지와,소매,애완동물·용품 소매,애완동물/애완용품 소매업,애완용 동물 및 관련용품 소매업,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 산업로 4857,129.2406469,35.91019999
MA0106202201A1469669,경주시청황리단길생활문화센터,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130570,황남동,황남동,경상북도 경주시 포석로 1058-26,129.210497,35.83525183
MA0106202201A1469692,케이케이보문주유소,,소매,연료 소매,주유소,운송장비용 주유소 운영업,경주시,47130660,보덕동,천군동,경상북도 경주시 경감로 585,129.2865161,35.83450464
MA0106202201A1469132,서라벌도시가스충효CNG충전소,,소매,연료 소매,가정용 연료 소매업,가정용 액체 연료 소매업,경주시,47130615,용강동,용강동,경상북도 경주시 유림로5번길 183,129.2281656,35.88061711
MA0106202201A0878943,양북주차장편의점울산,,소매,종합 소매,슈퍼마켓,슈퍼마켓,경주시,47130315,문무대왕면,문무대왕면,경상북도 경주시 문무대왕면 경감로 2249,129.420232,35.80926062
MA0106202201A1469688,동궁원,,소매,식료품 소매,가축 사료 소매업,곡물; 곡분 및 가축 사료 소매업,경주시,47130660,보덕동,북군동,경상북도 경주시 보문로 74-14,129.2615028,35.84948483
MA0106202201A1902652,파크랜드경주모화점,,소매,오락용품 소매,운동용품 소매업,운동 및 경기용품 소매업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 산업로 1846,129.3336839,35.67891746
MA0106202201A1469106,천우SILLABOUTIQUEHOTEL,,숙박,일반 숙박,여관/모텔,여관업,경주시,47130530,황오동,노서동,경상북도 경주시 강변로 200,129.2019365,35.84140102
MA0106202201A1469368,경주시수협바다마트,,소매,기타 상품 소매,그 외 기타 상품 전문 소매업,그 외 기타 분류 안된 상품 전문 소매업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 감포항구길 6,129.5029153,35.80472848
MA0106202201A1279824,단석가법인,,소매,기타 상품 소매,그 외 기타 상품 전문 소매업,그 외 기타 분류 안된 상품 전문 소매업,경주시,47130570,황남동,탑동,경상북도 경주시 탑리4길 2,129.2106432,35.82018363
MA0106202201A0393684,세라젬웰카페경주노동점,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130530,황오동,노동동,경상북도 경주시 원효로 111,129.2131101,35.84207869
MA0106202201A0625202,풀무원푸드앤컬처현대자동차영남교육시설,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130320,양남면,양남면,경상북도 경주시 양남면 양남로 175-27,129.4567855,35.67036723
MA0106202201A0056321,엘지전자경주서비스센터,,수리·개인,기타 가정용품 수리,그 외 기타 개인/가정용품 수리업,그 외 기타 개인 및 가정용품 수리업,경주시,47130615,용강동,용강동,경상북도 경주시 원화로 525,129.2230883,35.86691633
MA0106202201A0010277,SK에너지심곡리주유소,,소매,연료 소매,주유소,운송장비용 주유소 운영업,경주시,47130350,서면,서면,경상북도 경주시 서면 대경로 3196,129.0586821,35.89659115
MA0106202202A2319972,프프프베이커리,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130570,황남동,황남동,경상북도 경주시 포석로 1066,129.2097235,35.83608601
MA0106202203A2016227,하이드어웨이,경주지점,소매,섬유·의복·신발 소매,기타 의류 소매업,기타 의복 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 계림로 107,129.213326,35.8438768
MA0106202201A0235881,케이알산업건천휴게소상,,소매,종합 소매,슈퍼마켓,슈퍼마켓,경주시,47130256,건천읍,건천읍,경상북도 경주시 건천읍 경부고속도로 76,129.1092362,35.83188238
MA0106202201A0123424,비에스케이코퍼레이션경주점,,소매,의약·화장품 소매,화장품 소매업,화장품; 비누 및 방향제 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 동성로 103-3,129.2119261,35.84367732
MA0106202201A1825042,이상복경주빵보문점,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130660,보덕동,천군동,경상북도 경주시 보문로 535,129.2852476,35.83657412
MA0106202201A1902579,파크랜드경북지점,,소매,오락용품 소매,운동용품 소매업,운동 및 경기용품 소매업,경주시,47130530,황오동,노서동,경상북도 경주시 금성로 267,129.2067604,35.84136655
MA0106202207A1598341,도토리포도경주황리단길점,,소매,기타 상품 소매,그 외 기타 상품 전문 소매업,그 외 기타 분류 안된 상품 전문 소매업,경주시,47130570,황남동,사정동,경상북도 경주시 사정로 46-3,129.2082419,35.83652774
MA010120220811514783,경주한우천국,,소매,식료품 소매,정육점,육류 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 동성로 109-2,129.2125046,35.84338735
MA0106202202A0056362,이디야국립경주박물관점,,음식,비알코올 ,카페,커피 전문점,경주시,47130605,월성동,인왕동,경상북도 경주시 일정로 186,129.2286804,35.82942849
MA010120220809127514,보쌈이야기,,음식,한식,족발/보쌈,한식 일반 음식점업,경주시,47130550,성건동,성건동,경상북도 경주시 금성로 418,129.2070132,35.85487758
MA010120220805994745,박군꼬치,,음식,주점,요리 주점,기타 주점업,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 구부랑3길 14-10,129.1955341,36.00182182
MA010120220806370328,포석정,,음식,비알코올 ,카페,커피 전문점,경주시,47130570,황남동,배동,경상북도 경주시 포석로 733-8,129.2094706,35.80701385
MA010120220809124530,우성팬션모텔,,숙박,일반 숙박,여관/모텔,기타 일반 및 생활 숙박시설 운영업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 동해안로 1887,129.4938975,35.77666985
MA010120220813796744,로보티머,,음식,비알코올 ,카페,커피 전문점,경주시,47130590,선도동,충효동,경상북도 경주시 충효3길 27-11,129.1857081,35.84403113
MA010120220803879158,블루뮤직실용음악학원,,교육,기타 교육,음악학원,음악학원,경주시,47130590,선도동,충효동,경상북도 경주시 충효녹지길 44,129.18616,35.84195049
MA010120220809108471,고향숯불갈비,,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 화산안길 11-15,129.2889854,35.92648829
MA010120220809102218,성동이용소,,수리·개인,이용·미용,미용실,이용업,경주시,47130530,황오동,성동동,경상북도 경주시 북정로 98,129.2157001,35.84965377
MA010120220814253210,동해안한옥펜션,,숙박,일반 숙박,펜션,민박업,경주시,47130315,문무대왕면,문무대왕면,경상북도 경주시 문무대왕면 동해안로 1370,129.4829751,35.74045056
MA010120220811220602,바실라,,음식,비알코올 ,카페,커피 전문점,경주시,47130650,불국동,하동,경상북도 경주시 하동못안길 88,129.311634,35.80171302
MA010120220811880548,와와키즈풀빌라,,숙박,일반 숙박,펜션,기타 일반 및 생활 숙박시설 운영업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 경감로 2620,129.4573565,35.78998249
MA010120220809700913,세무사노동혁사무소,,과학·기술,회계·세무,세무사,세무사업,경주시,47130530,황오동,성동동,경상북도 경주시 원화로 328,129.2172791,35.84992197
MA010120220805243996,경주지역자활센터세탁사업단,,수리·개인,세탁,세탁소,가정용 세탁업,경주시,47130590,선도동,충효동,경상북도 경주시 충효녹지길 44-5,129.1859777,35.84216105
MA010120220809146377,미르커뮤니케이션,,시설관리·임대,기타 사업 서비스,전시/컨벤션/행사 대행 서비스업,전시; 컨벤션 및 행사 대행업,경주시,47130630,동천동,동천동,경상북도 경주시 알천북로249번길 19,129.2270224,35.8488767
MA010120220814112148,아러이막막,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,경주시,47130590,선도동,충효동,경상북도 경주시 충효녹지길 6-23,129.1894765,35.84142154
MA010120220800532450,꽃길,,음식,비알코올 ,카페,커피 전문점,경주시,47130570,황남동,사정동,경상북도 경주시 금성로 235,129.2068281,35.83861712
MA010120220809148519,동부,,시설관리·임대,청소·방제,건축물 일반 청소업,건축물 일반 청소업,경주시,47130630,동천동,동천동,경상북도 경주시 양정로 255,129.2239572,35.85562823
MA010120220809710094,또묵꼬묵꼬,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,경주시,47130550,성건동,성건동,경상북도 경주시 봉황로155번길 2,129.2098803,35.85369855
MA010120220809136518,경주한약방,,소매,식료품 소매,건강보조식품 소매업,의약품 및 의료용품 소매업,경주시,47130530,황오동,노동동,경상북도 경주시 동성로 103-9,129.2121423,35.84388959
MA010120220803721647,미래공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,경주시,47130615,용강동,용강동,경상북도 경주시 원지길 34-1,129.2217367,35.86767119
MA010120220804993467,유니정원,,음식,기타 간이,빵/도넛,제과점업,경주시,47130650,불국동,진현동,경상북도 경주시 불국신택지4길 11,129.3267271,35.78412198
MA010120220808506198,대성,,소매,철물·건설자재 소매,철물/공구 소매업,철물 및 난방용구 소매업,경주시,47130320,양남면,양남면,경상북도 경주시 양남면 양남로 332,129.462134,35.67445664
MA010120220804828030,지지옥션,경주지점,숙박,일반 숙박,호텔/리조트,호텔업,경주시,47130530,황오동,노서동,경상북도 경주시 태종로699번길 3,129.2044163,35.83903984
MA010120220809108205,신성이발관,,수리·개인,이용·미용,미용실,이용업,경주시,47130570,황남동,황남동,경상북도 경주시 포석로 966,129.2100309,35.82722307
MA010120220800837343,손정수가구,,소매,가구 소매,가구 소매업,가구 소매업,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 산업로 4772,129.2417166,35.90297177
MA010120220809084641,유성기업,,시설관리·임대,청소·방제,산업설비; 운송장비 및 공공장소 청소업,산업설비; 운송장비 및 공공장소 청소업,경주시,47130621,황성동,황성동,경상북도 경주시 공단로 85,129.2226471,35.87331287
MA010120220813876809,밀면당기고,,음식,한식,냉면/밀면,한식 면 요리 전문점,경주시,47130530,황오동,황오동,경상북도 경주시 원효로 170,129.2196705,35.84161524
MA010120220809120829,안강골프클럽,,예술·스포츠,스포츠 서비스,골프 연습장,골프 연습장 운영업,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 피일안길 16,129.1887915,36.00139547
MA010120220801449329,대웅,,시설관리·임대,청소·방제,건축물 일반 청소업,건축물 일반 청소업,경주시,47130315,문무대왕면,문무대왕면,경상북도 경주시 문무대왕면 경감로 1815,129.3853131,35.7978493
MA010120220809742642,너다운헤어,,수리·개인,이용·미용,미용실,두발 미용업,경주시,47130530,황오동,황오동,경상북도 경주시 원효로 139,129.2161829,35.84194995
MA010120220809102905,서울상회,,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 감포로 133,129.5020227,35.80589132
MA010120220805451691,의곡철물건재,,소매,철물·건설자재 소매,철물/공구 소매업,철물 및 난방용구 소매업,경주시,47130340,산내면,산내면,경상북도 경주시 산내면 의곡중앙길 35,129.0470298,35.7582588
MA010120220813910140,더예뻐지다,,수리·개인,이용·미용,피부 관리실,피부 미용업,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 안강중앙로 248,129.2270009,35.9914744
MA010120220803149702,황오당,,음식,기타 간이,빵/도넛,제과점업,경주시,47130530,황오동,황오동,경상북도 경주시 태종로 793,129.2147788,35.84120095
MA010120220813375792,다현추어탕,,음식,한식,국/탕/찌개류,한식 일반 음식점업,경주시,47130550,성건동,성건동,경상북도 경주시 북문로 45,129.2075938,35.85027158
MA010120220805461764,좋은인연,,음식,비알코올 ,카페,커피 전문점,경주시,47130320,양남면,양남면,경상북도 경주시 양남면 진리길 15,129.4673955,35.68000723
MA010120220810535347,충효아이스크림할인마트,,소매,식료품 소매,반찬/식료품 소매업,기타 식료품 소매업,경주시,47130590,선도동,충효동,경상북도 경주시 충효중앙길 35,129.1869798,35.8423861
MA010120220814018280,울산공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,경주시,47130650,불국동,시래동,경상북도 경주시 구매1길 21-12,129.3091472,35.77120682
MA010120220805961402,모모케이크샵,,음식,기타 간이,빵/도넛,제과점업,경주시,47130550,성건동,성건동,경상북도 경주시 금성로396번길 7,129.2075834,35.8534885
MA010120220809108752,황윤슈퍼,,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,경주시,47130370,강동면,강동면,경상북도 경주시 강동면 왕신숲골안길 60,129.2919743,35.96591375
MA010120220806835289,인지어스경주지사,,시설관리·임대,고용 알선,고용 알선업,고용 알선업,경주시,47130530,황오동,동부동,경상북도 경주시 화랑로 94,129.2109826,35.84437048
MA010120220803935966,후추정원,,소매,식물 소매,꽃집,화초 및 식물 소매업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 문산공단길 145,129.325753,35.66782599
MA010120220809121461,외동맷돌순두부,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 산업로 2204,129.3245128,35.70955917
MA010120220809324490,경주마당불손칼국수,,음식,한식,국수/칼국수,한식 면 요리 전문점,경주시,47130530,황오동,황오동,경상북도 경주시 원화로 258,129.2174651,35.84348509
MA010120220810186445,손가맥집,,음식,주점,생맥주 전문,생맥주 전문점,경주시,47130570,황남동,황남동,경상북도 경주시 첨성로81번길 22-15,129.2122737,35.83507495
MA010120220808444278,해피조이,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,경주시,47130621,황성동,황성동,경상북도 경주시 용담로106번길 15,129.2102152,35.86575735
MA010120220809437454,아이스께끼,,소매,섬유·의복·신발 소매,기타 의류 소매업,가죽 및 모피 의복 소매업,경주시,47130630,동천동,동천동,경상북도 경주시 동천로 75,129.2264422,35.85464511
MA010120220812089825,한국에너지기술원,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,경영 컨설팅업,경주시,47130570,황남동,탑동,경상북도 경주시 탑리4길 6,129.2111615,35.82012004
MA010120220811799863,주나세탁,,수리·개인,세탁,세탁소,가정용 세탁업,경주시,47130256,건천읍,건천읍,경상북도 경주시 건천읍 내서로 1042,129.0981676,35.85443165
MA010120220802845657,대성디벨로퍼,,소매,연료 소매,주유소,운송장비용 주유소 운영업,경주시,47130650,불국동,구정동,경상북도 경주시 불국로 92-3,129.304597,35.78171911
MA010120220808001360,에이치에스씨,,소매,식료품 소매,반찬/식료품 소매업,기타 식료품 소매업,경주시,47130660,보덕동,신평동,경상북도 경주시 보문로 465-67,129.2909001,35.83958401
MA010120220812320278,순수치킨,외동점,음식,기타 간이,치킨,치킨 전문점,경주시,47130259,외동읍,외동읍,경상북도 경주시 외동읍 문산공단길 118-26,129.3236489,35.67065987
MA010120220809128237,미성사,,소매,담배 소매,담배/전자담배 소매업,페인트; 창호 및 기타 건설자재 소매업,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 안강중앙로 239,129.2263071,35.99203691
MA010120220809849227,현성ENG,,과학·기술,기술 서비스,도시 계획 및 조경 설계 서비스업,도시 계획 및 조경 설계 서비스업,경주시,47130256,건천읍,건천읍,경상북도 경주시 건천읍 내서로 1096,129.1017436,35.85069278
MA010120220809105094,삼각지노래연습장,,예술·스포츠,유원지·오락,노래방,노래 연습장 운영업,경주시,47130550,성건동,성건동,경상북도 경주시 금성로396번길 61-7,129.2133639,35.85359836
MA010120220809102627,까치모텔,,숙박,일반 숙박,여관/모텔,여관업,경주시,47130250,감포읍,감포읍,경상북도 경주시 감포읍 감포로 351-3,129.5098454,35.8186303
MA010120220809114356,청림동물병원,,과학·기술,수의,동물병원,수의업,경주시,47130253,안강읍,안강읍,경상북도 경주시 안강읍 안현로 1560-2,129.2288014,35.99438729
MA010120220808503729,주전자막걸리,,음식,주점,요리 주점,기타 주점업,경주시,47130615,용강동,용강동,경상북도 경주시 광중1길 20,129.225091,35.88469276
MA010120220810441361,더블에이치플랜,,시설관리·임대,기타 사업 서비스,전시/컨벤션/행사 대행 서비스업,전시; 컨벤션 및 행사 대행업,경주시,47130630,동천동,동천동,경상북도 경주시 양정로 235,129.2239152,35.85372781
MA010120220814016196,신구한식당,,음식,한식,백반/한정식,한식 일반 음식점업,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 동산3길 34,129.2709759,35.89754719
MA010120220805218224,단추식당,,음식,주점,요리 주점,기타 주점업,경주시,47130630,동천동,동천동,경상북도 경주시 양정로240번길 17-3,129.2259728,35.85448261
MA010120220809105098,백연이용실,,수리·개인,이용·미용,미용실,두발 미용업,경주시,47130550,성건동,성건동,경상북도 경주시 금성로396번길 4,129.2072479,35.85296305
MA010120220809113486,경북온누리약국,,소매,의약·화장품 소매,약국,의약품 및 의료용품 소매업,경주시,47130630,동천동,동천동,경상북도 경주시 양정로 269,129.2239676,35.85679038
MA010120220809128526,르이음,,수리·개인,이용·미용,미용실,두발 미용업,경주시,47130550,성건동,성건동,경상북도 경주시 금성로 391,129.2066858,35.85264901
MA010120220809130988,좋은하루,,음식,주점,요리 주점,기타 주점업,경주시,47130256,건천읍,건천읍,경상북도 경주시 건천읍 건천시장2길 11-12,129.1052481,35.84928882
MA010120220813865373,휴림펜션B,,숙박,일반 숙박,펜션,기타 일반 및 생활 숙박시설 운영업,경주시,47130660,보덕동,천군동,경상북도 경주시 하리길 45,129.2887784,35.81850429
MA010120220808013076,한우한판,,음식,한식,소고기 구이/찜,한식 육류 요리 전문점,경주시,47130360,현곡면,현곡면,경상북도 경주시 현곡면 용담로 538-13,129.1748865,35.88984766
MA010120220810588453,더스테이,,숙박,일반 숙박,펜션,기타 일반 및 생활 숙박시설 운영업,경주시,47130320,양남면,양남면,경상북도 경주시 양남면 솔숲2길 5,129.4048832,35.66467596
MA010120220808614253,형아분식,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,경주시,47130550,성건동,성건동,경상북도 경주시 금성로 295,129.2067435,35.84395286
MA010120220802994389,중앙시장주령구슈퍼,,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,경주시,47130550,성건동,성건동,경상북도 경주시 금성로 295,129.2067435,35.84395286
MA010120220803063918,황성휴포레공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,경주시,47130621,황성동,황성동,경상북도 경주시 유림로 21,129.2142489,35.87267512
MA010120220803098857,꼴로스,,음식,동남아시아,베트남식 전문,기타 외국식 음식점업,경주시,47130550,성건동,성건동,경상북도 경주시 원효로51번길 11,129.2062366,35.84323233
MA010120220813712817,휘게삼점오그람,,교육,기타 교육,기타 기술/직업 훈련학원,기타 기술 및 직업 훈련학원,경주시,47130570,황남동,황남동,경상북도 경주시 포석로 972,129.2098109,35.82766863
MA010120220811951125,신라가스,,소매,연료 소매,가정용 연료 소매업,가정용 가스 연료 소매업,경주시,47130380,천북면,천북면,경상북도 경주시 천북면 서평길 22,129.2518042,35.93494961
